Fontainebleau Milton Apartments,9517 Fontainebleau Blvd,,Miami,FL,33172,0 - 3,1 - 2
Bridges At Kendall Place,8485 Hammocks Blvd,,Miami,FL,33193,1 - 3,1 - 2
The Park at Sheffield,15601 SW 137th Ave,,Miami,FL,33177,0 - 2,1 - 2
Fontainebleau Milton Apartments,9517 Fontainebleau Blvd,,Miami,FL,33172,0 - 3,1 - 2
Midtown 29,180 NE 29th St,,Miami,FL,33137,0 - 3,1 - 2
The Park at Sheffield,15601 SW 137th Ave,,Miami,FL,33177,0 - 2,1 - 2
Legacy Lakeside,15410 SW 75th Circle Ln,,Miami,FL,33193,1 - 2,1 - 2
Waterford Point,8960 SW 122nd Ave,,Miami,FL,33186,0 - 2,1 - 2
Fontainebleau Milton Apartments,9517 Fontainebleau Blvd,,Miami,FL,33172,0 - 3,1 - 2
Modera Metro Dadeland,8215 SW 72nd Ave,,Miami,FL,33143,0 - 3,1 - 3
Colony at Dadeland,9357 SW 77th Ave,,Miami,FL,33156,1 - 3,1 - 2
Midtown 5,125 NE 32nd St,,Miami,FL,33137,0 - 3,1 - 2
Midtown 29,180 NE 29th St,,Miami,FL,33137,0 - 3,1 - 2
Bridges At Kendall Place,8485 Hammocks Blvd,,Miami,FL,33193,1 - 3,1 - 2
Soleste Blue Lagoon,5375 NW 7th St,,Miami,FL,33126,0 - 3,1 - 2
Legacy Lakeside,15410 SW 75th Circle Ln,,Miami,FL,33193,1 - 2,1 - 2
Fontainebleau Milton Apartments,9517 Fontainebleau Blvd,,Miami,FL,33172,0 - 3,1 - 2
Midtown 5,125 NE 32nd St,,Miami,FL,33137,0 - 3,1 - 2
Bridges At Kendall Place,8485 Hammocks Blvd,,Miami,FL,33193,1 - 3,1 - 2
Soleste Blue Lagoon,5375 NW 7th St,,Miami,FL,33126,0 - 3,1 - 2
Waterford Point,8960 SW 122nd Ave,,Miami,FL,33186,0 - 2,1 - 2
Modera Metro Dadeland,8215 SW 72nd Ave,,Miami,FL,33143,0 - 3,1 - 3
La Vida Apartments,6600 NW 7th St,,Miami,FL,33126,1 - 2,1 - 2
Royal Palms Apartments,7707 NW 7th St,,Miami,FL,33126,1 - 3,1 - 2
Bridges At Kendall Place,8485 Hammocks Blvd,,Miami,FL,33193,1 - 3,1 - 2
Modera Metro Dadeland,8215 SW 72nd Ave,,Miami,FL,33143,0 - 3,1 - 3
Midtown 29,180 NE 29th St,,Miami,FL,33137,0 - 3,1 - 2
Bridges At Kendall Place,8485 Hammocks Blvd,,Miami,FL,33193,1 - 3,1 - 2
